Question#,Intitulé,Type de champ,Réponse
1,Quelle est votre mission avec Vox-Pop ?,Audio,
2,Quel est le problème que vous résolvez ?,Audio,
3,Qui sont vos premiers utilisateurs ?,Audio,
4,Qu'est-ce qui vous bloque aujourd'hui ?,Audio,
5,Quels canaux d'acquisition testez-vous ?,Audio,
6,Comment fonctionne la prise de commande ?,Audio,
7,Quels sont vos concurrents ?,Audio,
8,Qu'est-ce qui vous rend unique ?,Audio,
9,Quel est votre business model ?,Audio,
10,De quoi avez-vous besoin maintenant ?,Audio,
